Temperature (dC),Pressure (kPa), Latent Heat (kJ/kg)
-40,51.14,225.9
-39,53.88,225.3
-38,56.74,224.7
-37,59.72,224.0
-36,62.63,223.4
-35,66.43,222.8
-34,69.43,222.2
-33,72.93,221.5
-32,76.58,220.9
-31,80.36,220.3
-30,84.29,219.6
-29,88.37,219.0
-28,92.61,218.3
-27,97.02,217.7
-26,101.58,217.1
-25,106.32,216.4
-24,111.22,215.7
-23,116.31,215.1
-22,121.57,214.4
-21,127.02,213.7
-20,132.67,213.1
-19,138.5,212.4
-18,144.54,211.7
-17,150.78,211.0
-16,157.23,210.4
-15,163.9,209.7
-14,170.78,209.0
-13,177.89,208.3
-12,185.22,207.6
-11,192.79,206.9
-10,200.6,206.2
-9,208.65,205.4
-8,216.95,204.7
-7,225.5,204.0
-6,234.32,203.3
-5,243.39,202.5
-4,252.74,201.8
-3,262.36,201.1
-2,272.26,200.3
-1,282.45,199.6
0,292.93,198.8
