Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
900.00	0.050000	0.0066805	149.69	19.409	26.894	230.52	23.778	32.094	600.56	-0.50793	38.829	0.060661	vapor
900.00	1.0500	0.13977	7.1544	19.398	26.910	205.19	23.788	32.129	602.99	-0.51375	38.881	0.060774	vapor
900.00	2.0500	0.27189	3.6780	19.387	26.927	199.62	23.798	32.163	605.42	-0.51939	38.933	0.060893	vapor
900.00	3.0500	0.40302	2.4812	19.376	26.943	196.30	23.808	32.197	607.86	-0.52485	38.986	0.061018	vapor
900.00	4.0500	0.53319	1.8755	19.365	26.960	193.93	23.818	32.230	610.31	-0.53016	39.039	0.061148	vapor
900.00	4.0500	0.53319	1.8755	19.365	26.960	193.93	23.818	32.230	610.31	-0.53016	39.039	0.061148	supercritical
900.00	4.0500	0.53319	1.8755	19.365	26.960	193.93	23.818	32.230	610.31	-0.53016	39.039	0.061148	supercritical
900.00	5.0500	0.66240	1.5097	19.354	26.978	192.09	23.827	32.262	612.76	-0.53532	39.093	0.061283	supercritical
900.00	6.0500	0.79065	1.2648	19.343	26.995	190.57	23.837	32.294	615.21	-0.54033	39.147	0.061423	supercritical
900.00	7.0500	0.91796	1.0894	19.332	27.012	189.29	23.847	32.326	617.68	-0.54521	39.202	0.061567	supercritical
900.00	8.0500	1.0443	0.95756	19.322	27.030	188.18	23.856	32.357	620.14	-0.54996	39.258	0.061715	supercritical
900.00	9.0500	1.1698	0.85488	19.311	27.048	187.19	23.866	32.388	622.61	-0.55460	39.314	0.061866	supercritical
900.00	10.050	1.2943	0.77264	19.301	27.066	186.31	23.876	32.418	625.09	-0.55912	39.370	0.062020	supercritical
900.00	11.050	1.4178	0.70529	19.291	27.084	185.51	23.885	32.447	627.56	-0.56353	39.427	0.062177	supercritical
