Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
359.10	1.0000	22.703	0.044047	1.9849	2.0289	5.7121	79.631	96.751	917.30	-0.21563	undefined	undefined	liquid
359.10	1.1000	22.707	0.044039	1.9826	2.0310	5.7056	79.623	96.735	918.16	-0.21592	undefined	undefined	liquid
359.10	1.2000	22.712	0.044030	1.9803	2.0331	5.6992	79.615	96.719	919.03	-0.21620	undefined	undefined	liquid
359.10	1.3000	22.716	0.044021	1.9780	2.0352	5.6927	79.607	96.703	919.89	-0.21649	undefined	undefined	liquid
359.10	1.4000	22.721	0.044013	1.9757	2.0373	5.6863	79.600	96.687	920.75	-0.21677	undefined	undefined	liquid
359.10	1.5000	22.725	0.044004	1.9734	2.0394	5.6799	79.592	96.671	921.61	-0.21705	undefined	undefined	liquid
359.10	1.6000	22.730	0.043995	1.9711	2.0415	5.6735	79.584	96.655	922.47	-0.21733	undefined	undefined	liquid
359.10	1.7000	22.734	0.043987	1.9688	2.0436	5.6671	79.577	96.639	923.32	-0.21760	undefined	undefined	liquid
359.10	1.8000	22.739	0.043978	1.9666	2.0457	5.6607	79.569	96.624	924.18	-0.21788	undefined	undefined	liquid
359.10	1.9000	22.743	0.043969	1.9643	2.0478	5.6543	79.561	96.608	925.03	-0.21816	undefined	undefined	liquid
359.10	2.0000	22.747	0.043961	1.9620	2.0499	5.6480	79.554	96.593	925.88	-0.21843	undefined	undefined	liquid
359.10	2.1000	22.752	0.043952	1.9597	2.0520	5.6416	79.546	96.577	926.73	-0.21870	undefined	undefined	liquid
359.10	2.2000	22.756	0.043944	1.9575	2.0542	5.6352	79.539	96.562	927.57	-0.21897	undefined	undefined	liquid
359.10	2.3000	22.761	0.043935	1.9552	2.0563	5.6289	79.531	96.546	928.41	-0.21924	undefined	undefined	liquid
359.10	2.4000	22.765	0.043927	1.9530	2.0584	5.6226	79.524	96.531	929.26	-0.21951	undefined	undefined	liquid
359.10	2.5000	22.769	0.043918	1.9507	2.0605	5.6162	79.517	96.515	930.09	-0.21978	undefined	undefined	liquid
359.10	2.6000	22.774	0.043910	1.9485	2.0626	5.6099	79.509	96.500	930.93	-0.22005	undefined	undefined	liquid
359.10	2.7000	22.778	0.043902	1.9462	2.0648	5.6036	79.502	96.485	931.77	-0.22031	undefined	undefined	liquid
359.10	2.8000	22.783	0.043893	1.9440	2.0669	5.5973	79.495	96.470	932.60	-0.22058	undefined	undefined	liquid
359.10	2.9000	22.787	0.043885	1.9417	2.0690	5.5910	79.487	96.455	933.43	-0.22084	undefined	undefined	liquid
359.10	3.0000	22.791	0.043876	1.9395	2.0711	5.5847	79.480	96.440	934.26	-0.22110	undefined	undefined	liquid
359.10	3.1000	22.796	0.043868	1.9373	2.0733	5.5784	79.473	96.425	935.09	-0.22136	undefined	undefined	liquid
359.10	3.2000	22.800	0.043860	1.9351	2.0754	5.5722	79.466	96.410	935.92	-0.22162	undefined	undefined	liquid
359.10	3.3000	22.804	0.043851	1.9328	2.0775	5.5659	79.459	96.395	936.74	-0.22188	undefined	undefined	liquid
359.10	3.4000	22.809	0.043843	1.9306	2.0797	5.5597	79.451	96.380	937.56	-0.22214	undefined	undefined	liquid
359.10	3.5000	22.813	0.043835	1.9284	2.0818	5.5534	79.444	96.365	938.38	-0.22239	undefined	undefined	liquid
359.10	3.6000	22.817	0.043827	1.9262	2.0840	5.5472	79.437	96.351	939.20	-0.22265	undefined	undefined	liquid
359.10	3.7000	22.821	0.043818	1.9240	2.0861	5.5410	79.430	96.336	940.02	-0.22290	undefined	undefined	liquid
359.10	3.8000	22.826	0.043810	1.9218	2.0883	5.5347	79.423	96.321	940.84	-0.22315	undefined	undefined	liquid
359.10	3.9000	22.830	0.043802	1.9196	2.0904	5.5285	79.416	96.307	941.65	-0.22341	undefined	undefined	liquid
359.10	4.0000	22.834	0.043794	1.9174	2.0926	5.5223	79.409	96.292	942.46	-0.22366	undefined	undefined	liquid
359.10	4.1000	22.839	0.043786	1.9152	2.0947	5.5161	79.402	96.278	943.27	-0.22391	undefined	undefined	liquid
359.10	4.2000	22.843	0.043778	1.9130	2.0969	5.5100	79.395	96.263	944.08	-0.22415	undefined	undefined	liquid
359.10	4.3000	22.847	0.043769	1.9108	2.0990	5.5038	79.389	96.249	944.88	-0.22440	undefined	undefined	liquid
359.10	4.4000	22.851	0.043761	1.9087	2.1012	5.4976	79.382	96.234	945.69	-0.22465	undefined	undefined	liquid
359.10	4.5000	22.855	0.043753	1.9065	2.1034	5.4914	79.375	96.220	946.49	-0.22489	undefined	undefined	liquid
359.10	4.6000	22.860	0.043745	1.9043	2.1055	5.4853	79.368	96.206	947.29	-0.22514	undefined	undefined	liquid
359.10	4.7000	22.864	0.043737	1.9021	2.1077	5.4791	79.361	96.192	948.09	-0.22538	undefined	undefined	liquid
359.10	4.8000	22.868	0.043729	1.9000	2.1099	5.4730	79.355	96.177	948.89	-0.22562	undefined	undefined	liquid
359.10	4.9000	22.872	0.043721	1.8978	2.1120	5.4669	79.348	96.163	949.69	-0.22586	undefined	undefined	liquid
359.10	5.0000	22.876	0.043713	1.8956	2.1142	5.4607	79.341	96.149	950.48	-0.22610	undefined	undefined	liquid
359.10	5.1000	22.881	0.043705	1.8935	2.1164	5.4546	79.334	96.135	951.27	-0.22634	undefined	undefined	liquid
359.10	5.2000	22.885	0.043697	1.8913	2.1186	5.4485	79.328	96.121	952.06	-0.22658	undefined	undefined	liquid
359.10	5.3000	22.889	0.043689	1.8892	2.1207	5.4424	79.321	96.107	952.85	-0.22682	undefined	undefined	liquid
359.10	5.4000	22.893	0.043681	1.8870	2.1229	5.4363	79.315	96.093	953.64	-0.22705	undefined	undefined	liquid
359.10	5.5000	22.897	0.043673	1.8849	2.1251	5.4302	79.308	96.079	954.43	-0.22729	undefined	undefined	liquid
359.10	5.6000	22.901	0.043665	1.8828	2.1273	5.4242	79.301	96.066	955.21	-0.22752	undefined	undefined	liquid
359.10	5.7000	22.906	0.043657	1.8806	2.1295	5.4181	79.295	96.052	955.99	-0.22776	undefined	undefined	liquid
359.10	5.8000	22.910	0.043650	1.8785	2.1317	5.4120	79.288	96.038	956.78	-0.22799	undefined	undefined	liquid
359.10	5.9000	22.914	0.043642	1.8764	2.1339	5.4060	79.282	96.025	957.56	-0.22822	undefined	undefined	liquid
359.10	6.0000	22.918	0.043634	1.8742	2.1360	5.3999	79.276	96.011	958.33	-0.22845	undefined	undefined	liquid
359.10	6.1000	22.922	0.043626	1.8721	2.1382	5.3939	79.269	95.997	959.11	-0.22868	undefined	undefined	liquid
359.10	6.2000	22.926	0.043618	1.8700	2.1404	5.3879	79.263	95.984	959.88	-0.22891	undefined	undefined	liquid
359.10	6.3000	22.930	0.043610	1.8679	2.1426	5.3818	79.256	95.970	960.66	-0.22914	undefined	undefined	liquid
359.10	6.4000	22.934	0.043603	1.8658	2.1448	5.3758	79.250	95.957	961.43	-0.22936	undefined	undefined	liquid
359.10	6.5000	22.938	0.043595	1.8637	2.1470	5.3698	79.244	95.943	962.20	-0.22959	undefined	undefined	liquid
359.10	6.6000	22.943	0.043587	1.8616	2.1492	5.3638	79.237	95.930	962.97	-0.22981	undefined	undefined	liquid
359.10	6.7000	22.947	0.043579	1.8595	2.1514	5.3578	79.231	95.917	963.74	-0.23004	undefined	undefined	liquid
359.10	6.8000	22.951	0.043572	1.8574	2.1537	5.3518	79.225	95.903	964.50	-0.23026	undefined	undefined	liquid
359.10	6.9000	22.955	0.043564	1.8553	2.1559	5.3459	79.218	95.890	965.27	-0.23048	undefined	undefined	liquid
359.10	7.0000	22.959	0.043556	1.8532	2.1581	5.3399	79.212	95.877	966.03	-0.23070	undefined	undefined	liquid
359.10	7.1000	22.963	0.043549	1.8511	2.1603	5.3339	79.206	95.864	966.79	-0.23092	undefined	undefined	liquid
